name,description,quantity,price,low_stock_threshold,category
Wireless Keyboard,Ergonomic mechanical keyboard,50,89.90,10,Electronics
Green Tea Box,20 tea bags Japanese sencha,120,5.50,20,Beverages
Notebook A5,200-page ruled notebook,75,3.99,15,Office Supplies
Protein Bar Box,12 bars chocolate peanut,90,24.00,10,Food & Snacks
USB-C Charging Cable,2m braided USB-C cable,200,12.90,30,Electronics
Orange Juice 1L,Fresh squeezed orange juice,45,4.50,15,Beverages
Stapler Set,Heavy-duty stapler + 1000 staples,30,18.00,10,Office Supplies
Trail Mix 500g,Roasted almonds cashews raisins,25,9.90,10,Food & Snacks
Wireless Mouse,Bluetooth silent click mouse,60,15.90,20,
Instant Coffee Pack,50 sachets Arabica,80,22.50,20,
Permanent Marker Pack,12 assorted colors,150,7.80,30,Office Supplies
Potato Chips Box,24 packs assorted,100,18.00,20,Food & Snacks
